た,0,0,0,助動詞,*,*,*,特殊・タイ,連用テ接続・縮約形,たい,タ,タ
のろ,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,のろい,ノロ,ノロ
あやし,0,0,0,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,あやしい,アヤシ,アヤシ
痛,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,痛い,イタ,イタ
いた,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,いたい,イタ,イタ
うま,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,うまい,ウマ,ウマ
くら,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,くらい,クラ,クラ
甘,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,甘い,アマ,アマ
細,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,細い,ホソ,ホソ
高,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,高い,タカ,タカ
安,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,安い,ヤス,ヤス
可愛,0,0,0,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,可愛い,カワイ,カワイ
にく,0,0,0,形容詞,非自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,にくい,ニク,ニク
偉,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,偉い,エラ,エラ
細,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,細い,ホソ,ホソ
きまず,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,きまずい,キマズ,キマズ
気まず,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,気まずい,キマズ,キマズ
ちか,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ちかい,チカ,チカ
近,0,0,0,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,近い,チカ,チカ
